Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
SPRP,AE32_512,8192,30,10,0,0.686077,1762.6,567.344,17626,18438.1,20180,308359,555.301,0.983579,1.2877,1.46251
SPRP,AE32_512,16384,30,10,0,0.683369,1880.7,531.717,18807,19516.6,21414,265620,515.383,1.81046,4.26855,1.37684
SPRP,AE32_512,32768,30,10,0,0.660937,2076.4,481.603,20764,21779.4,25195,826478,909.108,1.97624,4.70684,1.11688
SPRP,AE32_512,65536,30,10,0,0.65241,2422.4,412.814,24224,25297.4,27116,389709,624.267,0.840532,1.10874,1.71951
SPRP,AE32_512,131072,30,10,0,0.583674,2727.8,366.596,27278,28950.1,33710,2.05925e+06,1435.01,1.42196,2.31459,1.1652
SPRP,AE32_512,262144,30,10,0,0.43659,2678.7,373.315,26787,27780,30252,709845,842.523,1.40865,1.76415,1.17856
SPRP,AE32_512,524288,30,10,0,0.324332,2679.5,373.204,26795,28506.1,32134,1.90848e+06,1381.48,0.718299,-0.18902,1.23858
SPRP,AE32_512,1048576,30,10,0,0.239329,2714.8,368.351,27148,28073.1,29910,572140,756.399,0.971872,0.196893,1.22303
SPRP,AE32_512,2097152,30,10,0,0.179781,2837.9,352.373,28379,30217.6,35285,3.18649e+06,1785.07,1.48807,1.28731,1.02998
SPRP,AE32_512,4194304,30,10,0,0.125961,2855.8,350.165,28558,29731.2,32690,824422,907.977,1.36877,2.119,1.2921
SPRP,AE32_512,8388608,30,10,0,0.0942446,2953.9,338.535,29539,30786.3,33744,973455,986.638,1.28214,1.34619,1.26416
SPRP,AE32_512,16777216,30,10,0,0.0693066,3095.8,323.018,30958,32890,38726,4.45618e+06,2110.97,1.66064,1.73552,0.915205
SPRP,AE32_512,33554432,30,10,0,0.0505833,3185.4,313.932,31854,32770.5,34295,438769,662.396,0.502243,-0.70773,1.38361
SPRP,AE32_512,67108864,30,10,0,0.0369366,3293.7,303.61,32937,34464.7,37982,1.41046e+06,1187.63,1.31567,1.50834,1.28635
SPRP,AE32_512,134217728,30,10,0,0.0270044,3411.3,293.143,34113,35402,38006,754728,868.751,0.888915,0.951627,1.48378
SPRP,AE32_512,268435456,30,10,0,0.0199082,3538.2,282.63,35382,36802.2,42155,1.72129e+06,1311.98,2.36427,7.40454,1.08246
SPRP,AE32_512,536870912,30,10,0,0.0144454,3634.8,275.118,36348,37661,39358,550743,742.121,0.257633,-0.330401,1.76925
SPRP,AE32_512,1073741824,30,10,0,0.0108077,3832.6,260.919,38326,41500.8,50023,7.26239e+06,2694.88,1.51513,2.323,1.17807
SPRP,AE32_512,2147483648,30,10,0,0.0079723,3981.9,251.136,39819,42943.4,47638,3.58253e+06,1892.76,0.412448,-0.101426,1.65073
SPRP,AE32_256,2,30,10,0,0.759541,1675.7,596.766,16757,18068.4,20956,1.04736e+06,1023.4,1.06302,0.604234,1.28144
SPRP,AE32_256,4,30,10,0,0.758217,1677.1,596.267,16771,17927.7,19779,724951,851.44,0.839014,-0.0206371,1.35856
SPRP,AE32_256,8,30,10,0,0.75854,1678.8,595.664,16788,18136.8,19990,825261,908.439,0.200046,-0.969971,1.48478
SPRP,AE32_256,16,30,10,0,0.760866,1684.1,593.789,16841,18121.7,19391,476220,690.087,-0.146503,-0.846626,1.8559
SPRP,AE32_256,32,30,10,0,0.759542,1677.6,596.09,16776,18185.5,20568,828987,910.487,0.465643,-0.0411489,1.54811
SPRP,AE32_256,64,30,10,0,0.760297,1677.9,595.983,16779,18123.1,20580,1.03883e+06,1019.23,0.556808,-0.437794,1.31877
SPRP,AE32_256,128,30,10,0,0.757043,1679.5,595.415,16795,18239.2,20290,942794,970.976,0.0741875,-0.942626,1.48734
SPRP,AE32_256,256,30,10,0,0.759567,1683.2,594.106,16832,18145,20467,910886,954.404,0.970496,0.182763,1.37569
